Название,Фирма,Процессор,Количество ядер,Объем ОЗУ (ГБ),Диагональ,Дата выпуска
Lenovo IdeaPad 3, Lenovo, AMD Ryzen 5 5500U, 6, 8, 15.6, 2021
HP Pavilion 15, HP, Intel Core i5-1135G7, 4, 8, 15.6, 2020
Dell Inspiron 15 3000, Dell, Intel Celeron N4020, 2, 4, 15.6, 2020
Acer Aspire 5, Acer, AMD Ryzen 3 3200U, 2, 4, 15.6, 2019
ASUS VivoBook 15, ASUS, Intel Core i3-1005G1, 2, 8, 15.6, 2020
Apple MacBook Air, Apple, Apple M1, 8, 8, 13.3, 2020
Microsoft Surface Laptop 3, Microsoft, Intel Core i5-1035G7, 4, 8, 13.5, 2019
Samsung Galaxy Book Flex, Samsung, Intel Core i5-1035G4, 4, 8, 13.3, 2020
Google Pixelbook Go, Google, Intel Core i5-8200Y, 2, 8, 13.3, 2019
Huawei MateBook X Pro, Huawei, Intel Core i7-8550U, 4, 16, 13.9, 2018